State,Value
1366.0,1.0
10843.0,1.0
4282.0,0.9
16675.0,1.0
15946.0,0.9
2824.0,0.81
7198.0,1.0
637.0,0.9
12787.0,1.0
6226.0,0.9
17161.0,0.0
14974.0,0.0
1852.0,0.0
16918.0,0.0
3796.0,0.0
8170.0,1.0
1609.0,0.9
18619.0,1.0
17890.0,0.9
4768.0,0.81
5254.0,1.0
11086.0,1.0
4525.0,0.9
13516.0,0.0
14002.0,1.0
15460.0,0.0
13273.0,0.9
151.0,0.81
5578.0,-1.0
16513.0,0.0
14326.0,0.0
1204.0,-0.9
10681.0,1.0
4120.0,0.9
15784.0,0.0
2662.0,0.0
7036.0,1.0
475.0,0.9
17080.0,0.0
3958.0,0.0
8332.0,1.0
1771.0,0.9
18538.0,0.9
5416.0,-0.9
11248.0,1.0
4687.0,0.9
14164.0,0.0
15622.0,0.0
13435.0,0.0
313.0,0.0
3634.0,-1.0
16270.0,0.0
3148.0,-0.9
8008.0,-1.0
11896.0,-1.0
7522.0,-0.9
961.0,-0.81
16594.0,0.9
3472.0,-0.9
12301.0,1.0
12220.0,0.9
7846.0,-0.9
1285.0,0.9
11734.0,-0.9
5173.0,0.9
16108.0,0.0
13921.0,0.9
799.0,-0.7290000000000001
9466.0,-1.0
10438.0,0.9
8980.0,-0.9
2419.0,0.0
10762.0,0.9
9304.0,-0.9
2743.0,0.7290000000000001
10276.0,0.81
3715.0,0.7290000000000001
15379.0,0.0
2257.0,0.0
6793.0,0.9
7117.0,0.9
8089.0,0.9
11005.0,0.9
6631.0,0.81
70.0,0.7290000000000001
1420.0,1.0
10897.0,0.0
4336.0,0.0
16729.0,1.0
16000.0,0.9
2878.0,0.0
8710.0,0.0
11626.0,-1.0
7252.0,-0.9
691.0,0.9
6280.0,-1.0
17215.0,0.0
15028.0,0.0
1906.0,-0.9
16972.0,0.0
3850.0,0.0
12598.0,-1.0
8224.0,-0.9
1663.0,0.0
4579.0,-1.0
17944.0,-1.0
13570.0,-0.9
14056.0,1.0
15514.0,0.0
13327.0,0.9
205.0,-0.9
17188.0,0.0
4066.0,0.0
8440.0,1.0
1879.0,0.9
4795.0,-1.0
18646.0,-1.0
14272.0,-0.9
15730.0,0.0
13543.0,0.0
421.0,-0.9
16702.0,0.9
3580.0,-0.9
12328.0,-1.0
7954.0,-0.9
1393.0,0.9
5281.0,-1.0
16216.0,0.0
14029.0,0.9
907.0,-0.9
10870.0,0.0
9412.0,-0.9
2851.0,0.0
10384.0,0.0
3823.0,0.0
15487.0,0.0
2365.0,0.0
7225.0,-0.81
8197.0,0.9
11113.0,-1.0
6739.0,-0.9
178.0,0.0
13003.0,1.0
6442.0,0.9
17377.0,0.0
15190.0,0.0
2068.0,0.0
17296.0,0.0
4174.0,0.0
12922.0,0.9
8548.0,0.0
1987.0,0.0
18835.0,1.0
18106.0,0.9
4984.0,0.81
5632.0,1.0
11464.0,-0.9
4903.0,0.9
13732.0,0.0
14380.0,1.0
15838.0,0.0
13651.0,0.9
529.0,0.0
17350.0,0.0
4228.0,0.0
8602.0,1.0
2041.0,0.9
5686.0,1.0
11518.0,1.0
4957.0,0.9
14434.0,1.0
15892.0,0.0
13705.0,0.9
583.0,0.81
12166.0,-0.9
5605.0,0.9
16540.0,0.81
14353.0,0.9
1231.0,0.81
10708.0,0.0
4147.0,0.0
15811.0,0.7290000000000001
2689.0,0.0
8521.0,0.9
11437.0,0.9
7063.0,-0.7290000000000001
502.0,0.7290000000000001
19078.0,-1.0
5956.0,-0.9
19240.0,-1.0
6118.0,-0.9
12436.0,-0.9
5875.0,-0.81
14704.0,-0.9
14866.0,-0.9
16810.0,0.0
14623.0,0.0
1501.0,-0.7290000000000001
19294.0,-1.0
6172.0,-0.9
12490.0,1.0
5929.0,0.9
14920.0,-0.9
16864.0,0.0
14677.0,0.0
1555.0,0.0
12652.0,1.0
6091.0,0.9
17026.0,0.0
14839.0,0.0
1717.0,0.0
16783.0,0.0
3661.0,0.0
12409.0,0.9
8035.0,0.81
1474.0,0.7290000000000001
17620.0,-0.9
17782.0,-0.9
18268.0,1.0
17539.0,0.9
4417.0,-0.9
17836.0,-0.9
18322.0,1.0
17593.0,0.9
4471.0,0.81
18484.0,-0.9
17755.0,-0.81
4633.0,-0.9
18241.0,0.9
5119.0,-0.9
10951.0,-0.9
4390.0,0.7290000000000001
13165.0,0.0
13219.0,0.0
13381.0,-0.7290000000000001
13867.0,0.81
15325.0,0.0
13138.0,0.7290000000000001
16.0,0.0
1348.0,1.0
10825.0,1.0
4264.0,0.9
15928.0,-1.0
2806.0,-0.9
7180.0,1.0
619.0,0.9
1834.0,1.0
17143.0,1.0
16900.0,0.9
3778.0,0.81
8152.0,1.0
1591.0,0.9
4750.0,1.0
5236.0,1.0
11068.0,1.0
4507.0,0.9
13498.0,1.0
13984.0,1.0
15442.0,-0.9
13255.0,0.9
133.0,0.81
1186.0,1.0
4102.0,-1.0
16495.0,1.0
15766.0,0.9
2644.0,-0.9
8476.0,-1.0
11392.0,-1.0
7018.0,-0.9
457.0,0.9
17062.0,0.9
3940.0,-0.9
12769.0,1.0
12688.0,0.9
8314.0,-0.9
1753.0,0.9
5398.0,1.0
11230.0,-0.9
4669.0,0.9
14146.0,1.0
15604.0,0.81
13417.0,0.9
295.0,0.81
781.0,1.0
3130.0,1.0
10177.0,1.0
9448.0,0.9
10420.0,-1.0
8962.0,-0.9
2401.0,0.9
3454.0,1.0
10744.0,0.9
9286.0,0.81
2725.0,0.9
10258.0,-0.9
3697.0,0.7290000000000001
16090.0,1.0
15361.0,0.9
2239.0,0.6561000000000001
7504.0,1.0
6775.0,0.9
7828.0,1.0
7099.0,0.9
8071.0,0.9
11716.0,1.0
10987.0,0.9
6613.0,0.81
52.0,0.9
17206.0,0.0
4084.0,-0.9
12832.0,-1.0
8458.0,-0.9
1897.0,-0.81
4813.0,-1.0
14290.0,1.0
15748.0,0.0
13561.0,0.9
439.0,-0.9
925.0,1.0
3598.0,1.0
10888.0,0.0
9430.0,0.0
2869.0,0.9
10402.0,-0.9
3841.0,0.0
16234.0,1.0
15505.0,0.9
2383.0,0.0
7972.0,1.0
7243.0,0.9
8215.0,-0.81
11131.0,-1.0
6757.0,-0.9
196.0,0.9
17368.0,0.0
4246.0,0.0
8620.0,1.0
2059.0,0.9
5704.0,1.0
11536.0,1.0
4975.0,0.9
14452.0,1.0
15910.0,-0.9
13723.0,0.9
601.0,0.81
1249.0,1.0
10726.0,0.0
4165.0,0.0
16558.0,1.0
15829.0,0.9
2707.0,0.0
8539.0,0.9
12184.0,1.0
11455.0,0.9
7081.0,0.81
520.0,0.9
6190.0,1.0
12508.0,1.0
5947.0,0.9
14938.0,1.0
16882.0,0.0
14695.0,0.9
1573.0,0.81
12670.0,-0.9
6109.0,0.9
17044.0,0.0
