State,Value
8827,10
8935,10
9259,10
10231,10
8773,10
2212,10
8971,10
9295,10
10267,10
8809,10
2248,10
9403,10
10375,0
8917,0
2356,10
10699,10
9241,10
2680,10
10213,0
3652,0
15316,0
2194,0
6586,10
6622,10
6730,0
7054,10
8026,10
10942,10
6568,0
7,10
12307,10
5746,10
14494,-10
1372,-10
2830,10
7204,10
643,10
12793,10
6232,10
17167,10
14980,10
1858,10
3802,10
8176,10
1615,10
18625,0
17896,0
4774,0
18382,0
5260,0
11092,10
4531,10
13522,0
14008,-10
15466,10
13279,10
157,10
12145,0
5584,0
16519,0
14332,0
1210,0
4126,-10
15790,0
2668,-10
8500,-10
11416,0
7042,-10
481,0
17086,10
3964,-10
12712,10
8338,-10
1777,10
18544,0
5422,0
11254,0
4693,0
14170,0
15628,0
13441,0
319,0
3640,-10
16276,0
3154,-10
8014,-10
11902,0
7528,-10
967,0
16600,-10
3478,-10
12226,10
7852,-10
1291,-10
11740,0
5179,0
16114,-10
13927,0
805,-10
9472,-10
10444,-10
8986,-10
2425,-10
10849,10
10768,10
9310,-10
2749,10
10282,-10
3721,10
15385,10
2263,-10
6799,-10
7123,10
8095,10
11011,10
6637,-10
76,10
1426,10
4342,-10
16006,-10
2884,-10
8716,-10
12361,10
11632,10
7258,-10
697,10
1669,-10
6286,-10
18679,10
17950,10
4828,-10
5314,10
12604,-10
11146,-10
4585,10
15034,-10
13576,-10
14062,10
16978,-10
15520,-10
13333,10
211,-10
1885,-10
18652,10
5530,0
12820,-10
11362,-10
4801,0
14278,0
17194,-10
15736,-10
13549,0
427,-10
16708,-10
3586,-10
12334,10
7960,-10
1399,10
11848,0
5287,10
16222,-10
14035,10
913,0
10876,-10
9418,-10
2857,-10
3829,-10
15493,-10
2371,-10
7231,-10
8203,-10
11119,0
6745,-10
184,0
13009,10
6448,10
15196,-10
2074,-10
17302,-10
4180,-10
12928,10
8554,-10
1993,-10
18112,-10
4990,-10
5638,10
11470,10
4909,10
13657,-10
535,-10
4234,10
8608,10
2047,10
18814,-10
5692,-10
11524,10
4963,10
13711,-10
589,-10
12172,10
5611,10
14359,-10
1237,-10
10714,-10
4153,10
15817,-10
2695,-10
8527,10
11443,10
7069,-10
508,-10
19084,-10
5962,-10
19246,-10
6124,-10
12442,-10
5881,-10
14710,-10
14872,-10
16816,-10
14629,-10
1507,-10
19300,-10
6178,-10
12496,10
5935,10
14926,-10
16870,10
14683,10
1561,10
12658,-10
6097,-10
17032,-10
14845,-10
1723,-10
16789,10
3667,-10
12415,10
8041,-10
1480,10
17626,-10
17788,-10
18274,10
17545,10
4423,-10
17842,-10
18328,-10
17599,-10
4477,-10
18490,0
17761,0
4639,-10
18247,10
5125,0
10957,0
4396,0
13171,-10
13225,-10
13387,-10
13873,-10
15331,-10
13144,-10
22,-10
1909,-10
5554,10
12844,-10
11386,-10
4825,10
14302,10
17218,-10
15760,-10
13573,10
451,-10
937,10
3610,10
10900,-10
9442,-10
2881,10
3853,-10
16246,10
15517,10
2395,-10
7984,10
7255,10
8227,-10
11872,10
11143,10
6769,-10
208,10
17380,-10
4258,-10
8632,10
2071,10
5716,10
11548,10
4987,10
13735,-10
613,-10
1261,10
10738,-10
4177,-10
15841,-10
2719,-10
8551,10
12196,10
11467,10
7093,10
532,10
6202,10
12520,10
5959,10
14950,10
16894,-10
14707,10
1585,10
12682,-10
6121,10
17056,-10
14869,10
1747,-10
16813,-10
3691,-10
12439,10
8065,-10
1504,10
17866,10
18352,10
17623,10
4501,10
18514,10
17785,10
4663,10
5149,10
10981,10
4420,10
13249,-10
13411,10
13897,10
15355,-10
13168,10
46,10
17164,10
4042,10
8416,10
1855,10
18622,0
5500,0
11332,10
4771,10
14248,0
15706,0
13519,0
397,0
16678,-10
3556,-10
7930,10
1369,10
11818,10
5257,10
16192,-10
14005,0
883,0
9388,10
2827,10
10360,10
3799,10
15463,10
2341,10
6715,10
154,10
12250,10
5689,10
14437,-10
1315,-10
10792,10
4231,10
15895,-10
2773,-10
7147,10
586,10
12736,10
6175,10
17110,10
14923,10
1801,10
16867,10
3745,10
8119,10
1558,10
18568,0
17839,10
4717,10
18325,10
5203,10
11035,10
4474,10
13465,0
13951,-10
15409,-10
13222,0
100,0
16516,0
3394,0
12142,0
7768,0
1207,0
11980,0
5419,0
16354,0
14167,0
1045,0
10684,-10
9226,-10
2665,0
10522,-10
3961,10
15625,0
2503,0
7039,0
8335,10
11251,10
6877,0
316,0
12088,-10
5527,10
16462,0
14275,10
1153,0
4069,-10
15733,0
2611,-10
8443,-10
11359,-10
6985,-10
424,0
17029,10
3907,-10
12655,10
8281,-10
1720,10
18487,10
5365,0
11197,-10
4636,10
14113,0
15571,0
13384,10
262,0
9712,10
3151,10
10036,10
3475,10
16111,0
2989,0
7525,10
7849,10
11737,10
7363,10
802,10
10144,10
3583,10
16219,10
3097,10
7957,10
11845,10
7471,10
910,10
16543,-10
3421,-10
12169,10
7795,10
1234,10
11683,10
5122,10
16057,-10
13870,10
748,10
8983,10
9307,10
10279,10
8821,10
2260,10
9415,10
10387,-10
8929,-10
2368,10
10711,10
9253,10
2692,10
10225,-10
3664,10
15328,0
2206,0
6634,10
6742,10
7066,10
8038,10
10954,10
6580,10
19,10
229,10
1930,10
17239,10
17230,10
4108,-10
12865,10
12856,10
8482,-10
1921,10
4846,10
18697,10
18688,10
5566,0
11398,0
4837,10
13594,10
14314,0
15772,0
13585,10
463,0
1435,-10
5332,10
12370,-10
11884,-10
5323,10
14080,10
16744,-10
16258,-10
14071,10
949,-10
2893,-10
3874,10
10912,-10
10426,-10
3865,10
15538,10
15529,10
2407,-10
7267,-10
8248,10
8239,10
11164,10
